x1, x2, x3, x4, x5, x6, your predictions, stimulation outcome
293.732229695517,287.4720442739964,305.5403520880501,304.04025764453945,320.6288668853917,258.3328493409182,1,1
303.83715886592347,352.61160871959237,293.6959813139981,285.0856717454463,339.18895851834355,345.40088963157723,1,0
336.4944760294481,263.03918348805007,303.83004560663926,338.3135769748176,269.8138633271222,307.8596820204236,0,0
264.6926762923121,323.7761530374718,284.71840629045334,294.2433490321227,291.487802069357,296.5563385575511,0,0
373.5402855440014,289.40277610717783,236.30010089497225,314.7942250861597,336.81974021067566,329.11349693797314,0,0
314.8340293585508,295.55223187691365,261.58142520074284,340.666772166462,322.3568284207632,305.5384281697051,0,1
272.294254651142,339.2986855454374,236.96071513126665,342.89287143795735,338.9923773740485,329.6023034956019,0,0
299.06213368988557,281.3975839669204,297.8527546113728,276.0754825641307,252.94742477780653,285.2088984203725,0,0
325.7664762313446,275.62499654520394,301.9172904775414,289.3256679958278,334.51418837079456,321.52064066823965,0,0
327.397165227554,297.5493161617021,280.0296714598493,317.36422102469385,269.7394343223163,271.35464358193053,0,0
289.4111494172066,257.91094218331125,310.9205328494762,284.86637331703446,271.51516353732524,252.69682648799173,0,1
286.9034757738289,261.0362848395355,300.3383501866841,289.61932005395005,325.9101289047288,347.18911336088536,1,1
327.7276523352309,338.0439579294707,273.9219861196613,297.523395687032,309.193528965889,367.06848597546065,1,1
331.46964627846785,242.4398841637186,267.57048663258405,318.2425736308365,308.3573928402026,283.74664350939184,0,1
314.6720168298051,271.0663687643334,298.9207546867369,278.9547062272158,304.8211224830566,287.9650218863254,0,0
278.58771212685394,309.94456581344826,260.76623632789784,284.87992341422313,271.2600806119016,304.8884330259576,0,1
283.0757478646685,311.3014343939698,264.37638761401695,280.53922625329585,353.0002511165697,327.14359114754393,0,0
219.35504315125212,322.17225031019854,295.0785932893634,269.1180915421411,268.38100480209675,298.8959579070763,0,1
285.2118445939162,281.2352877547168,302.3024614741799,241.27911425213085,317.23925540008736,294.0323011189392,0,0
282.6663810981047,289.6838652889369,322.2376303593069,267.8836841682551,263.46585226425066,299.5248301826578,0,1
285.32229071874747,309.7911902480186,266.5744573520359,293.07452219149184,252.82683471614843,297.5601233025311,0,0
300.41359531243774,305.9136253691902,255.89707747880152,308.44102611288304,309.8110458829989,297.85196273531295,0,0
275.38789483289736,282.1078831886933,370.5636907087892,325.61135506796035,317.2881047374637,270.79507487489394,0,0
304.28213838125373,340.36608355053545,270.6379726641228,247.83913368461023,266.037781697374,273.1371922182346,0,1
331.04959033917356,311.74620120264683,335.92371999427246,327.62292873483875,244.71441574284617,271.5828768921064,0,0
265.3148181393907,270.60962468039986,307.4691808231904,303.79874220641796,303.46501203776796,294.74521597777385,0,1
317.4928914792151,317.3056283674487,300.28661218363885,264.57529991388617,283.96566004391093,303.91652182395995,0,1
305.06995956895685,273.01262906835933,357.14079006925294,344.31511418043107,290.1756130243629,331.08602259215286,0,0
276.48702596799353,295.94176587160206,334.90265281955953,238.77327405326156,309.42617339481563,267.9521551491471,0,1
343.3819623047281,293.3443663872309,335.49766814489277,280.8666080675939,288.4925777632299,314.107555538552,0,1
305.09080603060175,291.51651854166863,256.50821875179605,287.1526156218313,290.64211750302195,239.7401843344676,0,1
286.9379126471733,324.04100811265715,309.1268555825992,292.16381311765525,239.19259088117212,335.7546556964993,0,1
310.3010314946182,264.7823082405641,294.6905001245356,275.17359455710044,322.325316694478,298.66033609459924,0,1
284.75540661731907,275.80897270477817,313.47030789524786,343.83829307632345,298.0820057081171,266.15307311718124,1,1
283.41220316658894,277.4372728856231,355.56192645242106,285.30612897808317,304.4163931304004,268.5054458322079,0,1
303.87861769663465,305.8308063266228,282.5422523291215,304.5326690681943,293.0055150309852,322.7645947436451,1,1
317.3715260255543,248.06802860052335,276.59141288700056,303.55724711056865,300.7245069897497,287.63032754625834,0,1
275.3539395709479,334.9008361291827,292.51017438396156,294.38668214249975,291.59765428984593,284.13331749323254,0,0
244.53456930390436,311.95689864748573,245.86032888072685,299.3809232137326,246.45651881213857,290.09549515861437,0,0
321.33452353455755,319.0631548402529,299.5041575520932,279.06342605171113,316.3140159307842,339.7723875325815,0,1
295.6721435855218,285.2777349674112,328.4570378093822,304.474319260469,282.5343458912537,295.66299851904313,0,1
273.51261490979584,284.6801078800045,233.11792169610845,294.21992766259626,307.69484765909056,341.7796137628836,1,1
293.4827876720201,277.94642066156746,269.14049712404847,324.1780410795386,303.5885611348684,332.0376905044334,1,1
345.99185678323136,326.31333737804573,312.3082718103932,251.0180055452201,316.8836456598497,290.52290383223936,0,0
317.8139060742588,326.264673062172,290.4951746174036,356.8925352485529,336.93497796959196,247.7382793141633,1,0
303.15396839510765,269.0715687645192,311.61091046606987,314.9917741141643,289.2715818129835,299.3219982308802,0,0
296.823251173296,227.46487640025526,323.62349625751716,346.66256452541825,304.6749516040552,261.4611120652085,0,0
308.65158584481054,333.65461778868195,281.8721562059802,271.92563186925554,327.8479144675272,289.333382435062,0,0
